"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","BB%","K%","wRC+","wOBA","WAR","playerid"
"Tommy Pham","SDP","155","475","561","109","68","24","2","15","74","49","78","3","128","4","4","0","10","14","6",".229",".340",".383",".724","13.9%","22.8%","102",".318","1.5","2967"
"Corey Dickerson","- - -","109","336","365","91","62","18","5","6","43","29","25","1","68","3","1","0","8","6","5",".271",".326",".408",".734","6.8%","18.6%","100",".317","0.8","10762"
"Eloy Jimenez","CHW","55","213","231","53","33","10","0","10","23","37","16","0","57","1","1","0","8","0","0",".249",".303",".437",".740","6.9%","24.7%","101",".317","0.2","17484"
"Eddie Rosario","- - -","111","379","412","98","62","19","3","14","42","62","26","0","61","1","4","2","4","11","3",".259",".305",".435",".740","6.3%","14.8%","98",".316","0.9","12155"
"Joc Pederson","- - -","137","429","481","102","62","19","3","18","55","61","39","0","117","8","5","0","9","2","3",".238",".310",".422",".732","8.1%","24.3%","94",".315","0.6","11899"
"David Peralta","ARI","150","487","538","126","80","30","8","8","57","63","46","3","92","3","2","0","9","2","1",".259",".325",".402",".728","8.6%","17.1%","93",".314","1.1","2136"
"Alex Dickerson","SFG","111","283","312","66","41","10","2","13","37","38","23","1","76","6","0","0","7","1","0",".233",".304",".420",".725","7.4%","24.4%","97",".313","0.2","12649"
"D.J. Stewart","BAL","100","270","318","55","33","10","0","12","39","33","44","1","89","4","0","0","3","0","0",".204",".324",".374",".698","13.8%","28.0%","94",".310","0.4","17766"
"Andrew Vaughn","CHW","127","417","469","98","61","22","0","15","56","48","41","0","101","6","5","0","14","1","1",".235",".309",".396",".705","8.7%","21.5%","94",".306","0.3","26197"
"Brett Gardner","NYY","140","387","461","86","56","16","4","10","47","39","60","0","100","3","6","5","3","4","0",".222",".327",".362",".689","13.0%","21.7%","93",".305","1.4","9927"
"Justin Upton","LAA","89","318","362","67","38","12","0","17","47","41","39","0","107","1","3","0","11","4","1",".211",".296",".409",".705","10.8%","29.6%","92",".305","0.3","5222"
"Raimel Tapia","COL","133","487","533","133","99","26","2","6","69","50","40","2","70","1","4","1","8","20","6",".273",".327",".372",".699","7.5%","13.1%","76",".305","0.4","14350"
"Aristides Aquino","CIN","84","174","204","33","16","6","1","10","25","23","27","2","75","1","2","0","0","2","2",".190",".299",".408",".707","13.2%","36.8%","83",".303","0.1","15482"
"Harold Ramirez","CLE","99","339","361","91","62","21","1","7","33","41","14","1","56","5","3","0","10","3","1",".268",".305",".398",".703","3.9%","15.5%","90",".302","0.0","14387"
"Willie Calhoun","TEX","75","260","284","65","46","10","3","6","26","25","21","0","34","2","1","0","6","0","2",".250",".310",".381",".691","7.4%","12.0%","91",".301","-0.6","17838"
"Brent Rooker","MIN","58","189","213","38","19","10","0","9","25","16","15","0","70","9","0","0","1","0","0",".201",".291",".397",".688","7.0%","32.9%","89",".301","-0.2","19627"
"Jeff McNeil","NYM","120","386","426","97","70","19","1","7","48","35","29","0","58","10","1","0","10","3","0",".251",".319",".360",".679","6.8%","13.6%","93",".301","0.5","15362"
"Trevor Larnach","MIN","79","260","301","58","39","12","0","7","29","28","31","0","104","8","2","0","3","1","0",".223",".322",".350",".672","10.3%","34.6%","89",".300","0.2","21501"
"Phil Gosselin","LAA","104","345","373","90","69","14","0","7","40","47","24","0","81","3","1","0","3","4","2",".261",".314",".362",".676","6.4%","21.7%","87",".297","0.1","10953"
"Kevin Pillar","NYM","124","325","347","75","47","11","2","15","40","47","11","0","81","10","1","0","5","4","3",".231",".277",".415",".692","3.2%","23.3%","90",".297","0.7","12434"
"Oscar Mercado","CLE","72","214","238","48","30","11","1","6","27","19","21","0","42","2","0","1","1","7","1",".224",".300",".369",".669","8.8%","17.6%","85",".294","0.6","16375"
"Jurickson Profar","SDP","137","353","412","80","57","17","2","4","47","33","49","1","65","6","2","1","12","10","5",".227",".329",".320",".649","11.9%","15.8%","85",".293","-0.7","10815"
"Dominic Smith","NYM","145","446","493","109","78","20","0","11","43","58","32","2","112","9","6","0","13","2","1",".244",".304",".363",".667","6.5%","22.7%","86",".291","-0.5","15653"
"Clint Frazier","NYY","66","183","218","34","20","9","0","5","20","15","32","0","65","3","0","0","8","2","0",".186",".317",".317",".633","14.7%","29.8%","83",".289","-0.9","15983"
"Marcell Ozuna","ATL","48","188","208","40","27","6","0","7","21","26","19","0","46","1","0","0","6","0","0",".213",".288",".356",".645","9.1%","22.1%","73",".284","-0.3","10324"
"Billy McKinney","- - -","116","265","300","51","28","11","3","9","32","27","32","2","79","1","2","0","3","2","0",".192",".280",".358",".638","10.7%","26.3%","73",".277","0.3","15654"
"Andrew Stevenson","WSN","109","192","213","44","33","6","0","5","22","23","13","2","61","5","1","2","3","1","1",".229",".294",".339",".632","6.1%","28.6%","69",".276","-0.1","17932"
"Lewis Brinson","MIA","89","274","290","62","39","14","0","9","24","33","13","0","72","1","1","1","5","1","1",".226",".263",".376",".639","4.5%","24.8%","74",".275","-0.2","14352"
"DJ Peters","- - -","70","223","240","44","21","9","1","13","29","38","12","4","82","2","3","0","4","2","0",".197",".242",".422",".663","5.0%","34.2%","71",".272","0.3","19348"
"Dylan Moore","SEA","126","332","377","60","35","11","2","12","42","43","40","0","111","4","1","0","6","21","5",".181",".276",".334",".610","10.6%","29.4%","74",".271","0.2","18042"
"Eli White","TEX","64","198","220","35","22","6","1","6","26","15","18","0","66","4","0","0","2","4","3",".177",".259",".308",".567","8.2%","30.0%","58",".253","-0.1","19346"
"David Dahl","TEX","63","205","220","43","28","11","0","4","19","18","10","0","59","1","3","1","3","2","1",".210",".247",".322",".569","4.5%","26.8%","54",".246","-0.8","13744"
