Name,Team,G,AB,PA,H,1B,2B,3B,HR,TB,RC,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,SecA,EqA,BB%,K%,wRC+,wOBA,WAR,playerid
Christian Vazquez,BOS,138,458,498,118,88,23,1,6,161,55.87,51,49,33,0,84,2,4,1,15,8,4,0.258,0.308,0.352,0.659,0.175,0.683,6.60%,16.90%,77,0.289,0.5,9774
Curt Casali,SFG,77,200,231,42,25,11,1,5,70,30.85,20,26,26,4,66,4,0,1,3,0,0,0.21,0.313,0.35,0.663,0.270,0.684,11.30%,28.60%,82,0.289,0.5,12510
Reese McGuire,TOR,78,198,217,50,34,15,0,1,68,25.82,22,10,15,0,44,2,1,1,4,0,0,0.253,0.31,0.343,0.654,0.167,0.671,6.90%,20.30%,78,0.289,1.3,15674
Austin Barnes,LAD,77,200,225,43,29,8,0,6,69,25.89,28,23,20,1,56,4,0,1,6,1,0,0.215,0.299,0.345,0.644,0.235,0.666,8.90%,24.90%,79,0.285,0.8,12158
Kurt Suzuki,LAA,72,219,247,49,35,8,0,6,75,25.53,17,16,12,0,44,11,3,2,7,0,0,0.224,0.294,0.342,0.636,0.174,0.662,4.90%,17.80%,76,0.282,-0.4,8259
James McCann,NYM,121,375,412,87,64,12,1,10,131,45.34,29,46,32,1,115,2,3,0,12,1,2,0.232,0.294,0.349,0.643,0.200,0.659,7.80%,27.90%,80,0.281,0.5,12859
Jorge Alfaro,MIA,92,295,311,72,52,15,1,4,101,29.51,22,30,11,0,99,5,0,0,8,8,1,0.244,0.283,0.342,0.625,0.159,0.651,3.50%,31.80%,73,0.274,0.6,12180
Victor Caratini,SDP,116,313,356,71,55,9,0,7,101,40.34,33,39,35,8,82,4,4,0,13,2,0,0.227,0.309,0.323,0.632,0.214,0.663,9.80%,23.00%,72,0.273,-0.7,14968
Kyle Higashioka,NYY,67,193,211,35,15,10,0,10,75,22.16,20,29,17,0,59,0,1,0,4,0,0,0.181,0.246,0.389,0.635,0.295,0.647,8.10%,28.00%,71,0.272,0.6,5517
Stephen Vogt,- - -,78,210,238,41,27,6,1,7,70,28.34,24,25,26,2,56,0,1,1,2,0,0,0.195,0.283,0.333,0.616,0.262,0.639,10.90%,23.50%,64,0.27,0.1,5000
Jose Trevino,TEX,89,285,302,68,49,14,0,5,97,25.33,23,30,12,1,57,0,3,2,13,1,1,0.239,0.267,0.34,0.607,0.144,0.623,4.00%,18.90%,64,0.261,0.6,16725
Martin Maldonado,HOU,125,373,426,64,41,10,1,12,112,43.52,40,36,47,1,127,5,1,0,9,0,0,0.172,0.272,0.3,0.573,0.255,0.599,11.00%,29.80%,63,0.258,0.2,6887
Jonah Heim,TEX,82,265,285,52,29,13,0,10,95,24.36,22,32,15,0,58,1,3,1,8,3,1,0.196,0.239,0.358,0.598,0.226,0.620,5.30%,20.40%,60,0.256,1.1,16930
Austin Hedges,CLE,88,286,312,51,34,7,0,10,88,21.83,32,31,15,1,87,1,3,7,7,1,0,0.178,0.22,0.308,0.527,0.185,0.557,4.80%,27.90%,40,0.227,0.1,12976
Sandy Leon,MIA,84,202,220,37,28,5,0,4,54,16.46,15,14,12,0,65,3,2,1,2,0,0,0.183,0.237,0.267,0.505,0.144,0.530,5.50%,29.50%,42,0.225,-0.6,5273
Michael Perez,PIT,70,210,231,30,14,8,1,7,61,16.97,19,21,19,1,68,2,0,0,4,0,1,0.143,0.221,0.29,0.511,0.233,0.528,8.20%,29.40%,38,0.225,-0.9,12977
