Name,Team,G,AB,PA,H,1B,2B,3B,HR,TB,RC,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,SecA,EqA,BB%,K%,wRC+,wOBA,WAR,playerid
Ronald Torreyes,PHI,112,318,344,77,59,10,1,7,110,30.75,30,41,19,2,41,1,1,5,7,2,1,0.242,0.286,0.346,0.632,0.167,0.651,5.50%,11.90%,68,0.274,0.6,11400
Ha-seong Kim,SDP,117,267,298,54,32,12,2,8,94,26.02,27,34,22,1,71,4,3,2,6,6,1,0.202,0.27,0.352,0.622,0.251,0.658,7.40%,23.80%,70,0.27,0.6,27506
Elvis Andrus,OAK,146,497,541,121,91,25,2,3,159,46.72,60,37,31,2,81,6,4,3,14,12,2,0.243,0.294,0.32,0.614,0.159,0.648,5.70%,15.00%,72,0.27,1.1,8709
Nick Ahmed,ARI,129,434,473,96,58,30,3,5,147,41.13,46,38,34,3,104,2,1,2,9,7,2,0.221,0.28,0.339,0.619,0.207,0.643,7.20%,22.00%,64,0.269,0,12147
Danny Mendick,CHW,71,164,186,36,29,5,0,2,47,15.46,14,20,18,0,42,2,1,1,1,0,1,0.22,0.303,0.287,0.589,0.171,0.615,9.70%,22.60%,68,0.268,0.2,18889
Andrelton Simmons,MIN,131,412,451,92,77,12,0,3,113,31.24,37,31,32,0,62,3,1,3,14,1,0,0.223,0.283,0.274,0.558,0.131,0.582,7.10%,13.70%,56,0.252,-0.5,10847
Kevin Newman,PIT,148,517,554,117,87,22,3,5,160,43.10,50,39,27,3,41,1,3,6,7,6,1,0.226,0.265,0.309,0.574,0.145,0.600,4.90%,7.40%,54,0.249,0.3,17696
Erik Gonzalez,PIT,71,220,229,51,41,7,1,2,66,16.12,17,21,8,0,40,0,1,0,4,2,2,0.232,0.258,0.3,0.558,0.105,0.570,3.50%,17.50%,50,0.244,-0.7,13369
Luis Rengifo,LAA,54,174,190,35,28,1,0,6,54,13.57,22,18,9,0,38,2,2,3,3,1,0,0.201,0.246,0.31,0.556,0.167,0.586,4.70%,20.00%,50,0.244,-0.4,19858
Zack Short,DET,61,156,184,22,12,4,0,6,44,11.66,21,20,22,1,59,0,6,0,4,2,0,0.141,0.239,0.282,0.521,0.295,0.579,12.00%,32.10%,41,0.23,-0.7,19562
